period,stateid,stateDescription,sectorid,sectorName,sales,sales-units,sector
2023-08-01,OH,Ohio,COM,commercial,4254.14199,million kilowatt hours,COM
2023-07-01,OH,Ohio,COM,commercial,4577.48001,million kilowatt hours,COM
2023-06-01,OH,Ohio,COM,commercial,3960.58736,million kilowatt hours,COM
2023-05-01,OH,Ohio,COM,commercial,3672.47557,million kilowatt hours,COM
2023-04-01,OH,Ohio,COM,commercial,3435.48277,million kilowatt hours,COM
2023-03-01,OH,Ohio,COM,commercial,3881.3564,million kilowatt hours,COM
2023-02-01,OH,Ohio,COM,commercial,3467.64737,million kilowatt hours,COM
2023-01-01,OH,Ohio,COM,commercial,3745.86355,million kilowatt hours,COM
2022-12-01,OH,Ohio,COM,commercial,3904.08933,million kilowatt hours,COM
2022-11-01,OH,Ohio,COM,commercial,3674.72693,million kilowatt hours,COM
2022-10-01,OH,Ohio,COM,commercial,3575.59359,million kilowatt hours,COM
2022-09-01,OH,Ohio,COM,commercial,3925.07015,million kilowatt hours,COM
2022-08-01,OH,Ohio,COM,commercial,4409.21796,million kilowatt hours,COM
2022-07-01,OH,Ohio,COM,commercial,4459.51733,million kilowatt hours,COM
2022-06-01,OH,Ohio,COM,commercial,3959.34657,million kilowatt hours,COM
2022-05-01,OH,Ohio,COM,commercial,3716.30618,million kilowatt hours,COM
2022-04-01,OH,Ohio,COM,commercial,3377.22967,million kilowatt hours,COM
2022-03-01,OH,Ohio,COM,commercial,3740.81081,million kilowatt hours,COM
2022-02-01,OH,Ohio,COM,commercial,3476.90583,million kilowatt hours,COM
2022-01-01,OH,Ohio,COM,commercial,3871.98864,million kilowatt hours,COM
2021-12-01,OH,Ohio,COM,commercial,3613.33447,million kilowatt hours,COM
2021-11-01,OH,Ohio,COM,commercial,3527.22427,million kilowatt hours,COM
2021-10-01,OH,Ohio,COM,commercial,3810.24678,million kilowatt hours,COM
2021-09-01,OH,Ohio,COM,commercial,3852.69212,million kilowatt hours,COM
2021-08-01,OH,Ohio,COM,commercial,4398.34476,million kilowatt hours,COM
2021-07-01,OH,Ohio,COM,commercial,4302.50895,million kilowatt hours,COM
2021-06-01,OH,Ohio,COM,commercial,3924.8206,million kilowatt hours,COM
2021-05-01,OH,Ohio,COM,commercial,3629.6176,million kilowatt hours,COM
2021-04-01,OH,Ohio,COM,commercial,3351.9403,million kilowatt hours,COM
2021-03-01,OH,Ohio,COM,commercial,3481.27626,million kilowatt hours,COM
2021-02-01,OH,Ohio,COM,commercial,3535.41775,million kilowatt hours,COM
2021-01-01,OH,Ohio,COM,commercial,3553.02813,million kilowatt hours,COM
2020-12-01,OH,Ohio,COM,commercial,3645.49883,million kilowatt hours,COM
2020-11-01,OH,Ohio,COM,commercial,3325.00444,million kilowatt hours,COM
2020-10-01,OH,Ohio,COM,commercial,3604.43015,million kilowatt hours,COM
2020-09-01,OH,Ohio,COM,commercial,3578.44169,million kilowatt hours,COM
2020-08-01,OH,Ohio,COM,commercial,4023.04372,million kilowatt hours,COM
2020-07-01,OH,Ohio,COM,commercial,4360.72267,million kilowatt hours,COM
2020-06-01,OH,Ohio,COM,commercial,3697.31058,million kilowatt hours,COM
2020-05-01,OH,Ohio,COM,commercial,3161.75612,million kilowatt hours,COM
2020-04-01,OH,Ohio,COM,commercial,2979.36106,million kilowatt hours,COM
2020-03-01,OH,Ohio,COM,commercial,3390.49685,million kilowatt hours,COM
2020-02-01,OH,Ohio,COM,commercial,3700.50631,million kilowatt hours,COM
2020-01-01,OH,Ohio,COM,commercial,3737.59262,million kilowatt hours,COM
2019-12-01,OH,Ohio,COM,commercial,3615.48733,million kilowatt hours,COM
2019-11-01,OH,Ohio,COM,commercial,3625.50967,million kilowatt hours,COM
2019-10-01,OH,Ohio,COM,commercial,3738.31582,million kilowatt hours,COM
2019-09-01,OH,Ohio,COM,commercial,4045.18714,million kilowatt hours,COM
2019-08-01,OH,Ohio,COM,commercial,4202.44344,million kilowatt hours,COM
2019-07-01,OH,Ohio,COM,commercial,4630.2975,million kilowatt hours,COM
2019-06-01,OH,Ohio,COM,commercial,3855.42356,million kilowatt hours,COM
2019-05-01,OH,Ohio,COM,commercial,3759.97848,million kilowatt hours,COM
2019-04-01,OH,Ohio,COM,commercial,3360.42129,million kilowatt hours,COM
2019-03-01,OH,Ohio,COM,commercial,3800.46987,million kilowatt hours,COM
